orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua,gobierno_local,sitio,latitud,longitud,Poblacion_partido,Personas_con_cloacas,Actividad_principal,"Agricultura, ganadería, caza y silvicultura",Pesca explotación de criaderos de peces y granjas piscícolas y servicios conexos,Explotación de minas y canteras,Industria Manufacturera,"Electricidad, gas y agua",Construcción,Servicios
23.0,Polo Petroquímico Dock Sud,AV051,24/2/2021,2021.0,verano,25.3,no se midió,4.77,6.61,Ausencia,Ausencia,Ausencia,Ausencia,2000,1320,450,4.3,0.36,1,0.44,<2.0,<30,45,<100,<5.0,<0.001,0,<0.15,45,Muy deteriorada,,,,,,,,,,,,,,
23.0,Polo Petroquímico Dock Sud,AV051,19/5/2021,2021.0,otoño,16.2,14.5,5.95,7.79,Ausencia,Ausencia,Ausencia,Ausencia,5000,2400,60,3.6,3.3,0.33,0.33,6,5.2,<30,80,<100,<0.005,<0.001,<10.000,48,Muy deteriorada,,,,,,,,,,,,,,
23.0,Polo Petroquímico Dock Sud,AV051,25/8/2021,2021.0,invierno,15.1,12.8,3.76,7.11,Ausencia ,Ausencia ,Ausencia ,Ausencia ,40000,3000,20,2.2,2,0.61,0.56,3.3,<30,13,<100,<0.005,<0.001,<0.010,<0.20,40,Extremadamente deteriorada,,,,,,,,,,,,,,
23.0,Polo Petroquímico Dock Sud,AV051,27/10/2021,2021.0,primavera,23.9,28,4.59,6.76,Ausencia,Ausencia,Ausencia,Ausencia,2000,100,100,<2.0,1.5,0.25,0.29,2.4,52,15,<100,<0.005,<0.001,<0.01,<0.20,52,Muy deteriorada,,,,,,,,,,,,,,
24.0,Arroyo Sarandí,AV052,24/2/2021,2021.0,verano,25.5,no se midió,3.22,6.87,Ausencia,Ausencia,Ausencia,Ausencia,10000,3200,600,4,1.6,0.98,0.46,6.4,<30,32,<100,<5.0,<0.001,0.005,<0.15,39,Extremadamente deteriorada,,,,,,,,,,,,,,
24.0,Arroyo Sarandí,AV052,19/5/2021,2021.0,otoño,16.2,14.5,4.67,7.69,Ausencia,Ausencia,Ausencia,Ausencia,9000,6400,600,3.4,2.7,0.48,0.48,7.4,7.1,30,75,<100,0.005,<0.001,<10.000,41,Extremadamente deteriorada,,,,,,,,,,,,,,
24.0,Arroyo Sarandí,AV052,25/8/2021,2021.0,invierno,14.8,12.8,3.7,7.04,Ausencia ,Ausencia ,Ausencia ,Ausencia ,60000,3000,100,2.1,2.2,0.73,0.63,4.8,30,11,<100,0.0057,<0.001,0.018,<0.20,38,Extremadamente deteriorada,,,,,,,,,,,,,,
24.0,Arroyo Sarandí,AV052,27/10/2021,2021.0,primavera,21.4,29.1,4.82,6.82,Ausencia,Ausencia,Ausencia,Ausencia,2000,1000,200,<2.0,0.1,0.35,0.38,3.5,<30,13,<100,<0.005,<0.001,<0.01,<0.20,50,Muy deteriorada,,,,,,,,,,,,,,
26.0,Arroyo Santo Domingo,AV053,24/2/2021,2021.0,verano,26.1,no se midió,2.21,7.21,Ausencia,Ausencia,Ausencia,Ausencia,40000,39000,1300,2.8,23,0.82,0.79,9.1,<30,21,no se midió,7.4,<0.001,0,no se midió,36,Extremadamente deteriorada,Avellaneda,Arroyo Santo Domingo,-34.662.789,-58.296.669,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
26.0,Arroyo Santo Domingo,AV053,19/5/2021,2021.0,otoño,16.7,14.5,3.41,7.71,Ausencia,Ausencia,Ausencia,Ausencia,32000,9000,40,3.1,2.9,0.61,0.61,8.5,5.1,<30,50,<100,<0.005,<0.001,<10.000,38,Extremadamente deteriorada,Avellaneda,Arroyo Santo Domingo,-34.662.789,-58.296.669,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
