"año";"campaña_mes";"clasificación";"parámetro";"ld";"lc";"unidades";"ti001";"sf_delta";"si024";"ca_cu02";"ca_cu03";"ca_cu04";"ca047";"av055";"qu061";"bz078";"vl032";"en081";"bs093"
"2022";"Agosto";"Parámetros_generales";"Granulometría_Arena";"-";"-";"%";"9.475";"23.505";"96.06";"96";"-";"22.47";"98.005";"97.13";"95.99";"99.96";"80.055";"99.85";"99.86"
"2022";"Agosto";"Parámetros_generales";"Granulometría_Limo";"-";"-";"%";"71.35";"76.495";"3.935";"4";"-";"60.435";"1.99";"2.87";"4.005";"0.04";"19.935";"0.15";"0.135"
"2022";"Agosto";"Parámetros_generales";"Granulometría_Arcilla";"-";"-";"%";"18.665";"13.75";"0";"0.165";"-";"17.085";"0";"0";"0";"0";"0";"0";"0"
"2022";"Agosto";"Parámetros_generales";"Granulometría_Textura";"-";"-";"-";"Limo_arcilloso";"Limoso";"Arenoso";"Arenoso";"-";"Limo_arenoso";"Arenoso";"Arenoso";"Arenoso";"Arenoso";"Arenoso_limoso";"Arenoso";"Arenoso"
"2022";"Agosto";"Parámetros_generales";"Carbono_orgánico_total";"-";"-";"%";"4.635";"2.305";"0.37";"0.54";"-";"12.56";"0.75";"0.48";"0.595";"0.41";"0.685";"0.46";"0.515"
"2022";"Agosto";"Parámetros_generales";"Nitrógeno_total";"0.5";"2";"mg_kg";"106";"64";"<LC";"11";"-";"211";"<LC";"12.5";"7.5";"23.5";"8.5";"15";"<LC"
"2022";"Agosto";"Parámetros_generales";"Sulfuros";"3";"10";"mg_kg";"ND";"ND";"11.5";"48.5";"-";"271";"ND";"ND";"ND";"11";"ND";"ND";"ND"
"2022";"Agosto";"Parámetros_generales";"Sulfato";"100";"250";"mg_kg";"4048";"4650.5";"1617";"1710.5";"-";"4275";"2756";"1907.5";"1274";"1208";"1916";"1698";"1210.5"
"2022";"Agosto";"Parámetros_generales";"Cianuro";"2";"5";"mg_kg";"ND";"ND";"ND";"ND";"-";"ND";"ND";"ND";"ND";"ND";"ND";"ND";"ND"
"2022";"Agosto";"Parámetros_generales";"SAAM";"2";"5";"mg_kg";"ND";"ND";"ND";"ND";"-";"ND";"ND";"ND";"ND";"ND";"ND";"ND";"ND"
"2022";"Agosto";"Parámetros_generales";"Fósforo_total";"30";"100";"mg_kg";"852";"685.5";"312.5";"592";"-";"1068.5";"389.5";"522";"363";"271.5";"365.5";"261.5";"253.5"
