año,campaña,clasificación,parámetro,ld,lc,unidad,ti001,ti004,ti006,ti008,sf015,si022,si023,vl032,vl033,ca044,ca046,ca047,av053,av054,qu061,qu063,bz078,bz080,en081,en084,bs091,bs092,en ad,ca cu01,ca cu02,ca cu03,ca cu04,ca cu05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,Cloruros,-,-,mg_l,-,57.65,72.25,42.7,55.75,60.35,60.3,56.65,-,64.45,57.2,74.3,93.95,133.2,89.2,-,84.65,99.1,97.75,57.3,109,178,64.65,67.75,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,Dureza,-,-,mg_l,-,77.8,95.3,65,72.95,109,231,88.9,-,78.3,72.45,78,111.5,97,97.25,-,88.3,87.2,79.4,63.55,133,176,72.4,82.1,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,Fluoruros,-,-,mg_l,-,0.18,0.23,0.12,0.17,205,255,0.19,-,0.18,175,0.2,0.31,0.29,265,-,205,195,0.2,0.16,0.36,215,0.18,0.2,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,Nitrógeno_amoniacal,-,-,mg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,Amonio_no_ionizable,-,-,mg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,Nitritos,-,-,mg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,Sulfatos,-,-,mg_l,-,46.25,55.1,37.9,45.25,46.1,45,45.8,-,46.75,44.7,52.8,64.6,65.15,58.1,-,50.2,46.4,46,43.85,42.6,61.65,46.3,46.65,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,Sulfitos,-,-,mg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,Sulfuros,-,-,mg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,Cianuros_totales,-,-,mg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,SAAM_(Detergentes),-,-,mg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Parámetros_generales,Solidos_totales_103ºC,-,-,mg_l,-,344,419,270,359,447,539,421,-,378,352,432,536,494,480,-,524,463,491,347,602,643,369,407,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Acenafteno,-,-,µg_l,-,ND,<0.01,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Acenaftileno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,<0.01,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Antraceno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Benzo_(a)_antraceno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,<0.01,ND,ND,ND,-,ND,ND,<0.01,<0.01,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Benzo_(b)_fluoranteno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,<0.01,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Benzo_(k)_fluoranteno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Benzo_(a)_pireno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,"Benzo_(g,h,i)_perileno",-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Criseno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,<0.01,-,ND,ND,ND,<0.01,ND,ND,ND,<0.01,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,"Dibenzo_(a,h)_antraceno",-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Fenantreno,-,-,µg_l,-,ND,<0.01,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,<0.01,<0.01,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Fluoranteno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,<0.01,<0.01,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Fluoreno,-,-,µg_l,-,ND,<0.01,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Indeno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Naftaleno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,Pireno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,<0.01,<0.01,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Hidrocarburos aromáticos,HAPs_totales,-,-,µg_l,-,ND,<0.01,ND,ND,ND,ND,ND,-,ND,ND,<0.01,ND,ND,ND,-,ND,ND,<0.01,<0.01,ND,ND,ND,<0.01,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Bifenilos_policlorados_(PCBs),PCB´s,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_fenólicos,Fenol,-,-,µg_l,-,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,-,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,-,ND,ND,ND,ND,ND,<0.01,ND,<0.01,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_fenólicos,Clorofenol,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,<0.01,ND,<0.01,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_fenólicos,Diclorofenol,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,<0.01,ND,<0.01,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_fenólicos,Dimetilfenol,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,<0.01,<0.01,0.18,<0.01,<0.01,-,ND,ND,ND,ND,ND,0.18,ND,0.24,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_fenólicos,Pentaclorofenol,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_fenólicos,"2,3,4,6_Tetraclorofenol",-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_fenólicos,"2,4,5_Triclorofenol",-,-,µg_l,-,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,-,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,-,ND,ND,<0.01,ND,ND,<0.01,ND,<0.01,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_fenólicos,"2,4,6_Triclorofenol",-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,<0.01,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_fenólicos,p_Clorometacresol,-,-,µg_l,-,ND,ND,<0.01,ND,ND,ND,ND,-,<0.01,ND,<0.01,ND,<0.01,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_fenólicos,4_Nitrofenol,-,-,µg_l,-,ND,ND,ND,675,0.32,<0.01,<0.01,-,ND,<0.01,<0.01,125,155,135,-,ND,ND,0.2,ND,ND,0.17,ND,125,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_fenólicos,Fenoles_totales,-,-,µg_l,-,<0.01,<0.01,<0.01,875,0.4,0.43,235,-,<0.01,<0.01,835,0.33,0.64,275,-,ND,ND,0.23,ND,ND,445,ND,405,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Otros,Dibutilftalato,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Otros,Dietilftalato,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Otros,Dimetilftalato,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_Orgánicos_Volátiles_(COVs),Acrilonitrilo,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Compuestos_Orgánicos_Volátiles_(COVs),Acroleína,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
